Protein Group,Protein ID,Accession,Significance,-10lgP,Intensity TMT10-126,Intensity TMT10-127N,Intensity TMT10-127C,Intensity TMT10-128N,Intensity TMT10-128C,Intensity TMT10-129N,Intensity TMT10-129C,Intensity TMT10-130N,Intensity TMT10-130C,Intensity TMT10-131,Ratio TMT10-126,Ratio TMT10-127N,Ratio TMT10-127C,Ratio TMT10-128N,Ratio TMT10-128C,Ratio TMT10-129N,Ratio TMT10-129C,Ratio TMT10-130N,Ratio TMT10-130C,Ratio TMT10-131,Intensity Group 1(TMT10-126; TMT10-127N),Intensity Group 2(TMT10-127C; TMT10-128N),Intensity Group 3(TMT10-128C; TMT10-129N),Intensity Group 4(TMT10-129C; TMT10-130N),Intensity Group 5(TMT10-130C; TMT10-131),Ratio Group 1(TMT10-126; TMT10-127N),Ratio Group 2(TMT10-127C; TMT10-128N),Ratio Group 3(TMT10-128C; TMT10-129N),Ratio Group 4(TMT10-129C; TMT10-130N),Ratio Group 5(TMT10-130C; TMT10-131),Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
2,3,P05694|METE_YEAST,25.85,350.91,4.918E7,5.003E7,5.378E7,5.481E7,4.759E7,4.787E7,4.322E7,4.306E7,4.44E7,4.487E7,1.00,1.02,1.09,1.11,0.97,0.97,0.88,0.88,0.90,0.91,4.962E7,5.43E7,4.773E7,4.315E7,4.463E7,1.00,1.09,0.96,0.87,0.90,68,48,48,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),85860,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET6 PE=1 SV=4
14,4,P07259|PYR1_YEAST,18.38,340.57,9.822E6,9.961E6,9.846E6,9.664E6,9.131E6,9.017E6,7.666E6,8.012E6,8.693E6,8.552E6,1.00,1.01,1.00,0.98,0.93,0.92,0.78,0.82,0.89,0.87,9.892E6,9.759E6,9.074E6,7.839E6,8.623E6,1.00,0.99,0.92,0.79,0.87,28,53,52,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),245038,Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA2 PE=1 SV=5
3,10,P06169|PDC1_YEAST,34.97,333.99,4.564E7,4.726E7,3.851E7,3.923E7,3.341E7,3.458E7,1.767E7,1.758E7,1.716E7,1.735E7,1.00,1.04,0.84,0.86,0.73,0.76,0.39,0.39,0.38,0.38,4.645E7,3.887E7,3.4E7,1.764E7,1.728E7,1.00,0.84,0.73,0.38,0.37,50,29,23,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),61495,Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDC1 PE=1 SV=7
22,9,P07149|FAS1_YEAST,22.11,327.74,5.45E6,5.364E6,5.856E6,5.642E6,5.845E6,5.933E6,6.654E6,6.667E6,6.964E6,6.901E6,1.00,0.98,1.07,1.04,1.07,1.09,1.22,1.22,1.28,1.27,5.409E6,5.756E6,5.892E6,6.666E6,6.933E6,1.00,1.06,1.09,1.23,1.28,26,46,46,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),228689,Fatty acid synthase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS1 PE=1 SV=2
1,1,P00925|ENO2_YEAST,35.21,327.34,2.206E7,2.176E7,2.361E7,2.271E7,1.992E7,1.967E7,1.153E7,1.17E7,1.173E7,1.148E7,1.00,0.99,1.07,1.03,0.90,0.89,0.52,0.53,0.53,0.52,2.191E7,2.316E7,1.98E7,1.161E7,1.161E7,1.00,1.06,0.90,0.53,0.53,35,34,16,TMT10plex; Oxidation (M); Deamidation (NQ),46914,Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO2 PE=1 SV=2
9,6,P00549|KPYK1_YEAST,39.07,326.51,4.109E7,4.098E7,4.12E7,4.176E7,3.399E7,3.381E7,1.88E7,1.858E7,1.897E7,1.932E7,1.00,1.00,1.00,1.02,0.83,0.82,0.46,0.45,0.46,0.47,4.104E7,4.149E7,3.39E7,1.87E7,1.915E7,1.00,1.01,0.83,0.46,0.47,66,35,33,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),54545,Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2
5,2,P00560|PGK_YEAST,40.81,326.12,8.288E7,8.097E7,9.759E7,9.811E7,8.189E7,8.058E7,5.072E7,5.015E7,4.929E7,4.972E7,1.00,0.98,1.18,1.18,0.99,0.97,0.61,0.61,0.59,0.60,8.193E7,9.785E7,8.123E7,5.044E7,4.951E7,1.00,1.19,0.99,0.62,0.60,77,34,34,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),44738,Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGK1 PE=1 SV=2
12,15,P32324|EF2_YEAST,21.59,323.94,2.446E7,2.45E7,2.206E7,2.252E7,2.065E7,2.012E7,1.741E7,1.811E7,1.823E7,1.776E7,1.00,1.00,0.90,0.92,0.84,0.82,0.71,0.74,0.75,0.73,2.45E7,2.231E7,2.039E7,1.777E7,1.799E7,1.00,0.91,0.83,0.73,0.73,55,39,39,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),93289,Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EFT1 PE=1 SV=1
35,12,P03965|CARB_YEAST,28.77,321.36,8.959E6,8.94E6,7.036E6,6.934E6,7.959E6,8.012E6,7.639E6,7.737E6,7.34E6,7.412E6,1.00,1.00,0.79,0.77,0.89,0.89,0.85,0.86,0.82,0.83,8.949E6,6.985E6,7.989E6,7.692E6,7.379E6,1.00,0.78,0.89,0.86,0.82,39,40,39,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),123915,Carbamoyl-phosphate synthase arginine-specific large chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CPA2 PE=1 SV=1
4,14,P00359|G3P3_YEAST,25.30,317.45,2.504E6,2.588E6,2.612E6,2.7E6,2.37E6,2.335E6,1.655E6,1.583E6,1.596E6,1.637E6,1.00,1.03,1.04,1.08,0.95,0.93,0.66,0.63,0.64,0.65,2.546E6,2.656E6,2.352E6,1.619E6,1.616E6,1.00,1.04,0.92,0.64,0.63,32,31,9,TMT10plex; Oxidation (M); Deamidation (NQ),35747,Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3
