Protein Group,Protein ID,Accession,Significance,-10lgP,Intensity TMT10-126,Intensity TMT10-127N,Intensity TMT10-127C,Intensity TMT10-128N,Intensity TMT10-128C,Intensity TMT10-129N,Intensity TMT10-129C,Intensity TMT10-130N,Intensity TMT10-130C,Intensity TMT10-131,Ratio TMT10-126,Ratio TMT10-127N,Ratio TMT10-127C,Ratio TMT10-128N,Ratio TMT10-128C,Ratio TMT10-129N,Ratio TMT10-129C,Ratio TMT10-130N,Ratio TMT10-130C,Ratio TMT10-131,Intensity Group 1(TMT10-126; TMT10-127N),Intensity Group 2(TMT10-127C; TMT10-128N),Intensity Group 3(TMT10-128C; TMT10-129N),Intensity Group 4(TMT10-129C; TMT10-130N),Intensity Group 5(TMT10-130C; TMT10-131),Ratio Group 1(TMT10-126; TMT10-127N),Ratio Group 2(TMT10-127C; TMT10-128N),Ratio Group 3(TMT10-128C; TMT10-129N),Ratio Group 4(TMT10-129C; TMT10-130N),Ratio Group 5(TMT10-130C; TMT10-131),Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
2,3,P05694|METE_YEAST,32.07,370.87,4.578E7,4.562E7,4.02E7,4.009E7,3.525E7,3.578E7,3.572E7,3.536E7,4.139E7,4.316E7,1.00,1.00,0.88,0.88,0.77,0.78,0.78,0.77,0.90,0.94,4.571E7,4.015E7,3.551E7,3.555E7,4.228E7,1.00,0.88,0.78,0.78,0.93,65,43,43,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),85860,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET6 PE=1 SV=4
11,4,P07259|PYR1_YEAST,36.42,366.60,9.564E6,9.609E6,8.306E6,8.323E6,7.307E6,7.443E6,7.456E6,7.462E6,8.216E6,8.335E6,1.00,1.00,0.87,0.87,0.76,0.78,0.78,0.78,0.86,0.87,9.586E6,8.317E6,7.375E6,7.461E6,8.279E6,1.00,0.87,0.77,0.78,0.86,31,59,58,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),245038,Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA2 PE=1 SV=5
13,9,P07149|FAS1_YEAST,21.37,364.94,7.567E6,7.406E6,7.074E6,7.145E6,7.884E6,7.944E6,8.124E6,8.21E6,7.309E6,7.172E6,1.00,0.98,0.93,0.94,1.04,1.05,1.07,1.09,0.97,0.95,7.501E6,7.112E6,7.914E6,8.167E6,7.241E6,1.00,0.95,1.06,1.09,0.97,33,56,56,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),228689,Fatty acid synthase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS1 PE=1 SV=2
1,1,P00925|ENO2_YEAST,19.10,363.54,2.645E7,2.719E7,2.729E7,2.76E7,2.615E7,2.614E7,2.675E7,2.695E7,1.148E7,1.064E7,1.00,1.03,1.03,1.04,0.99,0.99,1.01,1.02,0.43,0.40,2.682E7,2.745E7,2.615E7,2.685E7,1.106E7,1.00,1.02,0.97,1.00,0.41,35,35,16,TMT10plex; Oxidation (M); Deamidation (NQ),46914,Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO2 PE=1 SV=2
5,10,P06169|PDC1_YEAST,17.71,352.69,3.417E7,3.308E7,3.428E7,3.547E7,3.444E7,3.438E7,3.447E7,3.5E7,1.539E7,1.42E7,1.00,0.97,1.00,1.04,1.01,1.01,1.01,1.02,0.45,0.42,3.364E7,3.488E7,3.441E7,3.474E7,1.481E7,1.00,1.04,1.02,1.03,0.44,52,30,24,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),61495,Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDC1 PE=1 SV=7
3,2,P00560|PGK_YEAST,23.16,346.39,7.764E7,7.905E7,8.686E7,8.852E7,1.022E8,9.896E7,9.91E7,1.003E8,4.137E7,3.633E7,1.00,1.02,1.12,1.14,1.32,1.27,1.28,1.29,0.53,0.47,7.837E7,8.77E7,1.006E8,9.969E7,3.886E7,1.00,1.12,1.28,1.27,0.50,81,34,34,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),44738,Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGK1 PE=1 SV=2
6,6,P00549|KPYK1_YEAST,40.57,343.76,4.684E7,4.757E7,5.352E7,5.289E7,5.859E7,5.793E7,5.963E7,5.87E7,2.642E7,2.633E7,1.00,1.02,1.14,1.13,1.25,1.24,1.27,1.25,0.56,0.56,4.721E7,5.321E7,5.826E7,5.916E7,2.638E7,1.00,1.13,1.23,1.25,0.56,81,39,39,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),54545,Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2
15,11,P19097|FAS2_YEAST,14.57,339.95,6.942E6,6.847E6,6.518E6,6.637E6,7.552E6,7.422E6,7.345E6,7.649E6,6.701E6,6.692E6,1.00,0.99,0.94,0.96,1.09,1.07,1.06,1.10,0.97,0.96,6.901E6,6.593E6,7.488E6,7.498E6,6.7E6,1.00,0.96,1.09,1.09,0.97,31,53,53,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),206945,Fatty acid synthase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS2 PE=1 SV=2
12,15,P32324|EF2_YEAST,28.46,335.57,1.844E7,1.838E7,1.842E7,1.857E7,1.803E7,1.773E7,1.799E7,1.784E7,1.463E7,1.45E7,1.00,1.00,1.00,1.01,0.98,0.96,0.98,0.97,0.79,0.79,1.841E7,1.85E7,1.788E7,1.792E7,1.457E7,1.00,1.00,0.97,0.97,0.79,41,36,36,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),93289,Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EFT1 PE=1 SV=1
4,14,P00359|G3P3_YEAST,25.52,330.60,4.65E7,4.505E7,4.68E7,4.406E7,5.212E7,5.212E7,5.369E7,5.154E7,2.261E7,2.189E7,1.00,0.97,1.01,0.95,1.12,1.12,1.15,1.11,0.49,0.47,4.578E7,4.544E7,5.212E7,5.262E7,2.226E7,1.00,0.99,1.14,1.15,0.49,81,33,33,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),35747,Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3
