Protein Group,Protein ID,Accession,Significance,-10lgP,Intensity TMT10-126,Intensity TMT10-127N,Intensity TMT10-127C,Intensity TMT10-128N,Intensity TMT10-128C,Intensity TMT10-129N,Intensity TMT10-129C,Intensity TMT10-130N,Intensity TMT10-130C,Intensity TMT10-131,Ratio TMT10-126,Ratio TMT10-127N,Ratio TMT10-127C,Ratio TMT10-128N,Ratio TMT10-128C,Ratio TMT10-129N,Ratio TMT10-129C,Ratio TMT10-130N,Ratio TMT10-130C,Ratio TMT10-131,Intensity Group 1(TMT10-126; TMT10-127N),Intensity Group 2(TMT10-127C; TMT10-128N),Intensity Group 3(TMT10-128C; TMT10-129N),Intensity Group 4(TMT10-129C; TMT10-130N),Intensity Group 5(TMT10-130C; TMT10-131),Ratio Group 1(TMT10-126; TMT10-127N),Ratio Group 2(TMT10-127C; TMT10-128N),Ratio Group 3(TMT10-128C; TMT10-129N),Ratio Group 4(TMT10-129C; TMT10-130N),Ratio Group 5(TMT10-130C; TMT10-131),Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
3,3,P05694|METE_YEAST,6.99,433.93,4.281E7,4.394E7,4.189E7,4.191E7,4.093E7,4.008E7,4.055E7,3.969E7,4.161E7,4.22E7,1.00,1.03,0.98,0.98,0.96,0.94,0.95,0.93,0.97,0.99,4.338E7,4.19E7,4.051E7,4.013E7,4.191E7,1.00,0.97,0.93,0.92,0.97,73,48,48,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),85860,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET6 PE=1 SV=4
6,10,P06169|PDC1_YEAST,23.18,422.23,3.983E7,4.041E7,3.821E7,3.962E7,3.441E7,3.514E7,3.514E7,3.34E7,1.765E7,1.658E7,1.00,1.01,0.96,0.99,0.86,0.88,0.88,0.84,0.44,0.42,4.013E7,3.892E7,3.478E7,3.427E7,1.714E7,1.00,0.97,0.87,0.85,0.43,50,29,24,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),61495,Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDC1 PE=1 SV=7
1,1,P00925|ENO2_YEAST,24.04,419.09,2.646E7,2.641E7,2.709E7,2.741E7,2.856E7,2.84E7,2.793E7,2.845E7,1.347E7,1.283E7,1.00,1.00,1.02,1.04,1.08,1.07,1.06,1.08,0.51,0.48,2.644E7,2.725E7,2.848E7,2.819E7,1.319E7,1.00,1.03,1.08,1.07,0.50,35,37,17,TMT10plex; Oxidation (M); Deamidation (NQ),46914,Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO2 PE=1 SV=2
15,9,P07149|FAS1_YEAST,29.11,414.73,7.994E6,7.914E6,7.911E6,7.951E6,9.284E6,9.309E6,9.235E6,9.143E6,8.897E6,8.886E6,1.00,0.99,0.99,0.99,1.16,1.16,1.16,1.14,1.11,1.11,7.957E6,7.936E6,9.297E6,9.189E6,8.9E6,1.00,1.00,1.17,1.15,1.12,30,54,54,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),228689,Fatty acid synthase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS1 PE=1 SV=2
7,6,P00549|KPYK1_YEAST,23.24,413.77,3.791E7,3.747E7,4.18E7,4.143E7,4.217E7,4.148E7,4.437E7,4.391E7,1.771E7,1.59E7,1.00,0.99,1.10,1.09,1.11,1.09,1.17,1.16,0.47,0.42,3.769E7,4.162E7,4.183E7,4.414E7,1.682E7,1.00,1.10,1.11,1.17,0.45,75,36,35,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),54545,Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2
4,2,P00560|PGK_YEAST,29.81,401.05,8.885E7,8.884E7,9.753E7,9.932E7,1.12E8,1.114E8,1.086E8,1.102E8,4.461E7,4.057E7,1.00,1.00,1.10,1.12,1.26,1.25,1.22,1.24,0.50,0.46,8.885E7,9.843E7,1.117E8,1.094E8,4.261E7,1.00,1.11,1.26,1.23,0.48,83,36,36,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),44738,Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGK1 PE=1 SV=2
13,15,P32324|EF2_YEAST,29.10,398.08,2.282E7,2.285E7,2.211E7,2.254E7,1.994E7,2.004E7,2.019E7,2.002E7,1.699E7,1.676E7,1.00,1.00,0.97,0.99,0.87,0.88,0.89,0.88,0.74,0.73,2.284E7,2.233E7,1.999E7,2.011E7,1.688E7,1.00,0.98,0.88,0.88,0.74,58,42,42,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),93289,Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EFT1 PE=1 SV=1
9,7,P10592|HSP72_YEAST,14.94,390.65,1.246E6,1.174E6,1.127E6,1.066E6,1.055E6,1.109E6,1.215E6,1.112E6,7.858E5,7.365E5,1.00,0.94,0.90,0.86,0.85,0.89,0.98,0.89,0.63,0.59,1.21E6,1.097E6,1.082E6,1.164E6,7.638E5,1.00,0.91,0.89,0.96,0.63,8,36,3,TMT10plex; Oxidation (M); Deamidation (NQ),69470,Heat shock protein SSA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSA2 PE=1 SV=3
17,4,P07259|PYR1_YEAST,22.11,389.51,7.025E6,7.254E6,6.528E6,6.688E6,6.706E6,6.738E6,6.646E6,6.749E6,7.689E6,7.761E6,1.00,1.03,0.93,0.95,0.95,0.96,0.95,0.96,1.09,1.10,7.14E6,6.608E6,6.722E6,6.699E6,7.725E6,1.00,0.93,0.94,0.94,1.08,28,53,52,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),245038,Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA2 PE=1 SV=5
10,8,P10591|HSP71_YEAST,22.41,388.88,4.964E5,5.167E5,4.769E5,4.463E5,6.529E5,6.662E5,6.962E5,6.832E5,7.693E5,7.83E5,1.00,1.04,0.96,0.90,1.32,1.34,1.40,1.38,1.55,1.58,5.101E5,4.616E5,6.631E5,6.897E5,7.791E5,1.00,0.90,1.30,1.35,1.53,13,37,6,TMT10plex; Oxidation (M); Deamidation (NQ),69657,Heat shock protein SSA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSA1 PE=1 SV=4
