Protein Group,Protein ID,Accession,Significance,-10lgP,Intensity TMT10-126,Intensity TMT10-127N,Intensity TMT10-127C,Intensity TMT10-128N,Intensity TMT10-128C,Intensity TMT10-129N,Intensity TMT10-130C,Intensity TMT10-131,Ratio TMT10-126,Ratio TMT10-127N,Ratio TMT10-127C,Ratio TMT10-128N,Ratio TMT10-128C,Ratio TMT10-129N,Ratio TMT10-130C,Ratio TMT10-131,Intensity Group 1(TMT10-126; TMT10-127N),Intensity Group 2(TMT10-127C; TMT10-128N),Intensity Group 3(TMT10-128C; TMT10-129N),Intensity Group 4(TMT10-130C; TMT10-131),Ratio Group 1(TMT10-126; TMT10-127N),Ratio Group 2(TMT10-127C; TMT10-128N),Ratio Group 3(TMT10-128C; TMT10-129N),Ratio Group 4(TMT10-130C; TMT10-131),Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
2,3,P05694|METE_YEAST,12.68,393.79,7.801E7,7.292E7,8.856E7,9.331E7,8.69E7,8.404E7,6.22E7,6.665E7,1.00,0.93,1.14,1.20,1.11,1.08,0.80,0.85,7.547E7,9.094E7,8.547E7,6.442E7,1.00,1.20,1.13,0.85,73,49,49,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),85860,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET6 PE=1 SV=4
1,1,P00925|ENO2_YEAST,20.61,392.89,3.913E7,3.825E7,5.068E7,5.377E7,4.601E7,4.444E7,2.248E7,2.382E7,1.00,0.98,1.30,1.37,1.18,1.14,0.57,0.61,3.869E7,5.223E7,4.522E7,2.315E7,1.00,1.35,1.17,0.60,38,35,19,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),46914,Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO2 PE=1 SV=2
11,4,P07259|PYR1_YEAST,14.25,374.85,1.694E7,1.63E7,2.107E7,2.238E7,2.093E7,2.043E7,1.586E7,1.723E7,1.00,0.96,1.24,1.32,1.24,1.21,0.94,1.02,1.662E7,2.172E7,2.068E7,1.654E7,1.00,1.31,1.24,1.00,36,68,67,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),245038,Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA2 PE=1 SV=5
3,14,P00359|G3P3_YEAST,20.23,374.65,4.936E6,4.792E6,7.098E6,7.282E6,6.157E6,6.071E6,3.346E6,3.72E6,1.00,0.97,1.44,1.48,1.25,1.23,0.68,0.75,4.864E6,7.196E6,6.114E6,3.533E6,1.00,1.48,1.26,0.73,32,32,11,TMT10plex; Oxidation (M); Deamidation (NQ),35747,Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3
4,10,P06169|PDC1_YEAST,19.25,374.38,6.778E7,6.325E7,8.46E7,9.102E7,7.804E7,7.403E7,2.754E7,3.073E7,1.00,0.93,1.25,1.34,1.15,1.09,0.41,0.45,6.552E7,8.781E7,7.604E7,2.914E7,1.00,1.34,1.16,0.44,52,29,25,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),61495,Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDC1 PE=1 SV=7
6,6,P00549|KPYK1_YEAST,18.42,369.18,9.164E7,8.711E7,1.196E8,1.257E8,1.143E8,1.111E8,4.275E7,4.813E7,1.00,0.95,1.31,1.37,1.25,1.21,0.47,0.53,8.937E7,1.227E8,1.127E8,4.544E7,1.00,1.37,1.26,0.51,80,40,40,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),54545,Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2
12,15,P32324|EF2_YEAST,14.55,357.70,4.595E7,4.249E7,5.609E7,5.909E7,5.219E7,5.013E7,3.362E7,3.653E7,1.00,0.92,1.22,1.29,1.14,1.09,0.73,0.79,4.422E7,5.76E7,5.117E7,3.508E7,1.00,1.30,1.16,0.79,52,40,40,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),93289,Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EFT1 PE=1 SV=1
5,2,P00560|PGK_YEAST,24.57,351.97,1.426E8,1.319E8,1.795E8,1.876E8,1.675E8,1.587E8,8.32E7,8.556E7,1.00,0.92,1.26,1.32,1.17,1.11,0.58,0.60,1.372E8,1.835E8,1.631E8,8.438E7,1.00,1.34,1.19,0.61,82,34,34,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),44738,Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGK1 PE=1 SV=2
9,7,P10592|HSP72_YEAST,15.43,346.53,1.826E6,1.722E6,2.032E6,2.223E6,1.966E6,2.023E6,1.269E6,1.351E6,1.00,0.94,1.11,1.22,1.08,1.11,0.70,0.74,1.774E6,2.127E6,1.995E6,1.31E6,1.00,1.20,1.12,0.74,10,36,5,TMT10plex; Oxidation (M); Deamidation (NQ),69470,Heat shock protein SSA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSA2 PE=1 SV=3
34,94,P00950|PMG1_YEAST,18.01,345.12,4.769E7,4.21E7,5.422E7,5.707E7,5.314E7,4.959E7,2.491E7,2.712E7,1.00,0.88,1.14,1.20,1.11,1.04,0.52,0.57,4.489E7,5.564E7,5.136E7,2.601E7,1.00,1.24,1.14,0.58,66,17,17,TMT10plex; Oxidation (M); Deamidation (NQ),27609,Phosphoglycerate mutase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GPM1 PE=1 SV=3
