Protein Group,Protein ID,Accession,Significance,-10lgP,Intensity TMT10-126,Intensity TMT10-127N,Intensity TMT10-127C,Intensity TMT10-128N,Intensity TMT10-128C,Intensity TMT10-129N,Intensity TMT10-129C,Intensity TMT10-130N,Intensity TMT10-130C,Intensity TMT10-131,Ratio TMT10-126,Ratio TMT10-127N,Ratio TMT10-127C,Ratio TMT10-128N,Ratio TMT10-128C,Ratio TMT10-129N,Ratio TMT10-129C,Ratio TMT10-130N,Ratio TMT10-130C,Ratio TMT10-131,Intensity Group 1(TMT10-126; TMT10-127N),Intensity Group 2(TMT10-127C; TMT10-128N),Intensity Group 3(TMT10-128C; TMT10-129N),Intensity Group 4(TMT10-129C; TMT10-130N),Intensity Group 5(TMT10-130C; TMT10-131),Ratio Group 1(TMT10-126; TMT10-127N),Ratio Group 2(TMT10-127C; TMT10-128N),Ratio Group 3(TMT10-128C; TMT10-129N),Ratio Group 4(TMT10-129C; TMT10-130N),Ratio Group 5(TMT10-130C; TMT10-131),Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
2,3,P05694|METE_YEAST,25.08,350.66,8.202E7,8.148E7,8.37E7,8.128E7,7.087E7,7.131E7,6.784E7,6.648E7,6.914E7,7.136E7,1.00,0.99,1.02,0.99,0.86,0.87,0.83,0.81,0.84,0.87,8.176E7,8.25E7,7.11E7,6.718E7,7.027E7,1.00,1.01,0.87,0.82,0.86,74,48,48,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),85860,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET6 PE=1 SV=4
4,10,P06169|PDC1_YEAST,33.34,340.32,6.094E7,6.213E7,5.656E7,5.655E7,4.54E7,4.509E7,2.634E7,2.522E7,2.447E7,2.485E7,1.00,1.02,0.93,0.93,0.75,0.74,0.43,0.41,0.40,0.41,6.154E7,5.656E7,4.526E7,2.58E7,2.468E7,1.00,0.92,0.74,0.42,0.40,52,31,26,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),61495,Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDC1 PE=1 SV=7
12,4,P07259|PYR1_YEAST,24.76,338.23,1.69E7,1.697E7,1.555E7,1.509E7,1.441E7,1.471E7,1.338E7,1.358E7,1.379E7,1.4E7,1.00,1.00,0.92,0.89,0.85,0.87,0.79,0.80,0.82,0.83,1.693E7,1.532E7,1.457E7,1.349E7,1.39E7,1.00,0.91,0.86,0.80,0.82,31,61,60,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),245038,Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA2 PE=1 SV=5
10,15,P32324|EF2_YEAST,26.31,334.95,4.399E7,4.303E7,4.019E7,4.061E7,3.548E7,3.54E7,3.136E7,3.157E7,3.071E7,2.965E7,1.00,0.98,0.91,0.92,0.81,0.80,0.71,0.72,0.70,0.67,4.352E7,4.041E7,3.545E7,3.148E7,3.019E7,1.00,0.93,0.81,0.72,0.69,58,43,43,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),93289,Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EFT1 PE=1 SV=1
6,6,P00549|KPYK1_YEAST,35.71,333.74,8.353E7,8.26E7,7.675E7,7.642E7,6.503E7,6.291E7,3.778E7,3.716E7,3.71E7,3.772E7,1.00,0.99,0.92,0.91,0.78,0.75,0.45,0.44,0.44,0.45,8.307E7,7.659E7,6.397E7,3.749E7,3.741E7,1.00,0.92,0.77,0.45,0.45,77,37,37,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),54545,Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2
20,9,P07149|FAS1_YEAST,24.07,332.96,1.08E7,1.1E7,1.147E7,1.185E7,1.212E7,1.232E7,1.36E7,1.358E7,1.434E7,1.439E7,1.00,1.02,1.06,1.10,1.12,1.14,1.26,1.26,1.33,1.33,1.091E7,1.166E7,1.222E7,1.359E7,1.437E7,1.00,1.07,1.12,1.25,1.32,31,54,54,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),228689,Fatty acid synthase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS1 PE=1 SV=2
1,1,P00925|ENO2_YEAST,34.58,332.30,3.785E7,3.843E7,3.781E7,3.864E7,3.17E7,3.097E7,2.13E7,2.153E7,2.24E7,2.258E7,1.00,1.02,1.00,1.02,0.84,0.82,0.56,0.57,0.59,0.60,3.814E7,3.822E7,3.134E7,2.141E7,2.249E7,1.00,1.00,0.82,0.56,0.59,33,31,15,TMT10plex; Oxidation (M); Deamidation (NQ),46914,Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO2 PE=1 SV=2
3,14,P00359|G3P3_YEAST,44.20,326.25,8.663E7,8.585E7,8.537E7,8.5E7,7.285E7,7.219E7,4.642E7,4.491E7,4.343E7,4.319E7,1.00,0.99,0.99,0.98,0.84,0.83,0.54,0.52,0.50,0.50,8.624E7,8.519E7,7.252E7,4.568E7,4.333E7,1.00,0.99,0.84,0.53,0.50,78,31,31,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),35747,Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3
8,8,P10591|HSP71_YEAST,38.07,324.66,9.494E5,9.425E5,1.255E6,1.286E6,1.453E6,1.485E6,1.651E6,1.661E6,1.546E6,1.519E6,1.00,0.99,1.32,1.35,1.53,1.56,1.74,1.75,1.63,1.60,9.509E5,1.275E6,1.469E6,1.656E6,1.533E6,1.00,1.34,1.54,1.74,1.61,14,37,8,TMT10plex; Oxidation (M); Deamidation (NQ),69657,Heat shock protein SSA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSA1 PE=1 SV=4
27,21,P11484|SSB1_YEAST,16.32,321.97,7.231E5,7.2E5,6.925E5,6.327E5,6.045E5,5.728E5,4.462E5,4.891E5,5.034E5,4.752E5,1.00,1.00,0.96,0.87,0.84,0.79,0.62,0.68,0.70,0.66,7.291E5,6.663E5,5.921E5,4.676E5,4.893E5,1.00,0.91,0.81,0.64,0.67,6,32,3,Acrylamide; TMT10plex,66602,Ribosome-associated molecular chaperone SSB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSB1 PE=1 SV=3
9,7,P10592|HSP72_YEAST,35.62,320.99,2.427E6,2.44E6,2.005E6,2.042E6,1.844E6,1.918E6,1.53E6,1.48E6,1.465E6,1.452E6,1.00,1.01,0.83,0.84,0.76,0.79,0.63,0.61,0.60,0.60,2.433E6,2.023E6,1.881E6,1.505E6,1.459E6,1.00,0.83,0.77,0.62,0.60,8,34,3,TMT10plex; Oxidation (M),69470,Heat shock protein SSA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSA2 PE=1 SV=3
