Protein Group,Protein ID,Accession,Significance,-10lgP,Intensity TMT10-126,Intensity TMT10-127N,Intensity TMT10-127C,Intensity TMT10-128N,Intensity TMT10-128C,Intensity TMT10-129N,Intensity TMT10-129C,Intensity TMT10-130N,Intensity TMT10-130C,Intensity TMT10-131,Ratio TMT10-126,Ratio TMT10-127N,Ratio TMT10-127C,Ratio TMT10-128N,Ratio TMT10-128C,Ratio TMT10-129N,Ratio TMT10-129C,Ratio TMT10-130N,Ratio TMT10-130C,Ratio TMT10-131,Intensity Group 1(TMT10-126; TMT10-127N),Intensity Group 2(TMT10-127C; TMT10-128N),Intensity Group 3(TMT10-128C; TMT10-129N),Intensity Group 4(TMT10-129C; TMT10-130N),Intensity Group 5(TMT10-130C; TMT10-131),Ratio Group 1(TMT10-126; TMT10-127N),Ratio Group 2(TMT10-127C; TMT10-128N),Ratio Group 3(TMT10-128C; TMT10-129N),Ratio Group 4(TMT10-129C; TMT10-130N),Ratio Group 5(TMT10-130C; TMT10-131),Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
2,3,P05694|METE_YEAST,30.21,381.28,7.86E7,7.89E7,8.267E7,8.207E7,7.504E7,7.343E7,7.012E7,7.034E7,7.089E7,7.171E7,1.00,1.00,1.05,1.04,0.95,0.93,0.89,0.89,0.90,0.91,7.875E7,8.244E7,7.424E7,7.023E7,7.131E7,1.00,1.05,0.94,0.89,0.91,65,45,45,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),85860,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET6 PE=1 SV=4
1,1,P00925|ENO2_YEAST,32.76,367.42,3.292E7,3.263E7,3.357E7,3.334E7,2.958E7,2.911E7,1.858E7,1.903E7,1.841E7,1.802E7,1.00,0.99,1.02,1.01,0.90,0.88,0.56,0.58,0.56,0.55,3.277E7,3.345E7,2.934E7,1.881E7,1.822E7,1.00,1.02,0.90,0.57,0.56,38,33,17,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),46914,Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO2 PE=1 SV=2
12,4,P07259|PYR1_YEAST,33.97,362.62,1.572E7,1.577E7,1.405E7,1.408E7,1.343E7,1.34E7,1.253E7,1.292E7,1.275E7,1.291E7,1.00,1.00,0.89,0.90,0.85,0.85,0.80,0.82,0.81,0.82,1.575E7,1.407E7,1.343E7,1.272E7,1.284E7,1.00,0.89,0.85,0.81,0.82,32,60,59,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),245038,Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA2 PE=1 SV=5
5,10,P06169|PDC1_YEAST,51.56,357.54,7.221E7,6.844E7,6.187E7,6.19E7,4.994E7,4.856E7,2.738E7,2.578E7,2.678E7,2.673E7,1.00,0.95,0.86,0.86,0.69,0.67,0.38,0.36,0.37,0.37,7.033E7,6.189E7,4.926E7,2.658E7,2.677E7,1.00,0.88,0.70,0.38,0.38,52,29,25,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),61495,Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDC1 PE=1 SV=7
9,6,P00549|KPYK1_YEAST,48.19,349.10,7.338E7,7.46E7,7.146E7,7.169E7,5.676E7,5.654E7,3.374E7,3.287E7,3.334E7,3.348E7,1.00,1.02,0.97,0.98,0.77,0.77,0.46,0.45,0.45,0.46,7.4E7,7.158E7,5.665E7,3.332E7,3.343E7,1.00,0.97,0.77,0.45,0.45,75,35,35,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),54545,Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2
7,8,P10591|HSP71_YEAST,21.93,348.82,7.807E5,7.56E5,9.273E5,9.924E5,1.073E6,1.149E6,1.418E6,1.251E6,1.231E6,1.251E6,1.00,0.97,1.19,1.27,1.37,1.47,1.82,1.60,1.58,1.60,7.684E5,9.599E5,1.111E6,1.335E6,1.241E6,1.00,1.25,1.45,1.74,1.62,17,40,9,TMT10plex; Oxidation (M); Deamidation (NQ),69657,Heat shock protein SSA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSA1 PE=1 SV=4
4,2,P00560|PGK_YEAST,40.19,347.30,1.154E8,1.133E8,1.373E8,1.369E8,1.182E8,1.196E8,7.241E7,7.196E7,6.968E7,6.696E7,1.00,0.98,1.19,1.19,1.02,1.04,0.63,0.62,0.60,0.58,1.144E8,1.371E8,1.189E8,7.221E7,6.834E7,1.00,1.20,1.04,0.63,0.60,75,32,32,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),44738,Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGK1 PE=1 SV=2
8,7,P10592|HSP72_YEAST,23.69,345.23,1.975E6,2.032E6,1.658E6,1.768E6,1.503E6,1.556E6,1.299E6,1.318E6,1.214E6,1.218E6,1.00,1.03,0.84,0.90,0.76,0.79,0.66,0.67,0.61,0.62,2.003E6,1.713E6,1.529E6,1.309E6,1.219E6,1.00,0.85,0.76,0.65,0.61,10,38,5,TMT10plex; Oxidation (M),69470,Heat shock protein SSA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSA2 PE=1 SV=3
22,9,P07149|FAS1_YEAST,39.70,344.87,8.735E6,8.87E6,9.299E6,9.342E6,9.925E6,1E7,1.129E7,1.129E7,1.184E7,1.185E7,1.00,1.02,1.06,1.07,1.14,1.15,1.29,1.29,1.36,1.36,8.805E6,9.329E6,9.972E6,1.129E7,1.185E7,1.00,1.06,1.13,1.28,1.35,27,47,47,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),228689,Fatty acid synthase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS1 PE=1 SV=2
3,14,P00359|G3P3_YEAST,34.57,344.08,7.383E7,7.385E7,8.092E7,8.131E7,6.704E7,6.534E7,4.092E7,4.016E7,3.869E7,3.83E7,1.00,1.00,1.10,1.10,0.91,0.88,0.55,0.54,0.52,0.52,7.384E7,8.112E7,6.62E7,4.056E7,3.851E7,1.00,1.10,0.90,0.55,0.52,78,30,30,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),35747,Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3
10,15,P32324|EF2_YEAST,27.27,338.38,3.673E7,3.619E7,3.327E7,3.283E7,2.924E7,2.899E7,2.709E7,2.681E7,2.677E7,2.612E7,1.00,0.99,0.91,0.89,0.80,0.79,0.74,0.73,0.73,0.71,3.647E7,3.306E7,2.913E7,2.695E7,2.645E7,1.00,0.91,0.80,0.74,0.73,52,38,38,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),93289,Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EFT1 PE=1 SV=1
20,38,P06168|ILV5_YEAST,22.50,334.73,1.412E7,1.388E7,1.32E7,1.284E7,1.318E7,1.308E7,1.471E7,1.465E7,1.495E7,1.482E7,1.00,0.98,0.93,0.91,0.93,0.93,1.04,1.04,1.06,1.05,1.4E7,1.303E7,1.313E7,1.468E7,1.488E7,1.00,0.93,0.94,1.05,1.06,68,28,28,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),44369,Ketol-acid reductoisomerase  mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ILV5 PE=1 SV=1
