Protein Group,Protein ID,Accession,Significance,-10lgP,Intensity TMT10-126,Intensity TMT10-127N,Intensity TMT10-127C,Intensity TMT10-128N,Intensity TMT10-128C,Intensity TMT10-129N,Intensity TMT10-130C,Intensity TMT10-131,Ratio TMT10-126,Ratio TMT10-127N,Ratio TMT10-127C,Ratio TMT10-128N,Ratio TMT10-128C,Ratio TMT10-129N,Ratio TMT10-130C,Ratio TMT10-131,Intensity Group 1(TMT10-126; TMT10-127N),Intensity Group 2(TMT10-127C; TMT10-128N),Intensity Group 3(TMT10-128C; TMT10-129N),Intensity Group 4(TMT10-130C; TMT10-131),Ratio Group 1(TMT10-126; TMT10-127N),Ratio Group 2(TMT10-127C; TMT10-128N),Ratio Group 3(TMT10-128C; TMT10-129N),Ratio Group 4(TMT10-130C; TMT10-131),Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
2,3,P05694|METE_YEAST,18.98,386.43,6.838E7,6.472E7,8.926E7,8.989E7,8.294E7,8.219E7,6.213E7,6.586E7,1.00,0.95,1.31,1.31,1.21,1.20,0.91,0.96,6.656E7,8.958E7,8.257E7,6.4E7,1.00,1.35,1.24,0.96,69,46,46,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),85860,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET6 PE=1 SV=4
1,1,P00925|ENO2_YEAST,20.52,370.48,3.089E7,2.893E7,3.95E7,3.838E7,3.579E7,3.487E7,1.759E7,1.881E7,1.00,0.94,1.28,1.24,1.16,1.13,0.57,0.61,2.991E7,3.894E7,3.533E7,1.82E7,1.00,1.30,1.18,0.61,35,32,15,TMT10plex; Oxidation (M); Deamidation (NQ),46914,Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO2 PE=1 SV=2
7,6,P00549|KPYK1_YEAST,20.81,369.20,4.699E7,4.487E7,7.455E7,7.385E7,6.589E7,6.432E7,3.048E7,3.317E7,1.00,0.95,1.59,1.57,1.40,1.37,0.65,0.71,4.593E7,7.42E7,6.511E7,3.183E7,1.00,1.62,1.42,0.69,73,37,37,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),54545,Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2
14,4,P07259|PYR1_YEAST,13.21,368.93,1.31E7,1.248E7,1.742E7,1.693E7,1.528E7,1.543E7,1.29E7,1.393E7,1.00,0.95,1.33,1.29,1.17,1.18,0.98,1.06,1.279E7,1.718E7,1.536E7,1.342E7,1.00,1.34,1.20,1.05,29,54,53,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),245038,Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA2 PE=1 SV=5
3,10,P06169|PDC1_YEAST,26.97,368.42,4.895E7,4.573E7,7.445E7,7.511E7,6.565E7,6.639E7,2.569E7,2.685E7,1.00,0.93,1.52,1.53,1.34,1.36,0.52,0.55,4.736E7,7.479E7,6.602E7,2.627E7,1.00,1.58,1.39,0.55,50,28,23,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),61495,Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDC1 PE=1 SV=7
5,2,P00560|PGK_YEAST,22.80,359.16,1.135E8,1.051E8,1.511E8,1.474E8,1.326E8,1.341E8,6.963E7,7.227E7,1.00,0.93,1.33,1.30,1.17,1.18,0.61,0.64,1.093E8,1.493E8,1.334E8,7.095E7,1.00,1.37,1.22,0.65,78,34,34,Acrylamide; TMT10plex; Deamidation (NQ),44738,Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGK1 PE=1 SV=2
4,14,P00359|G3P3_YEAST,17.93,356.65,4.436E6,4.387E6,6.058E6,6.26E6,5.135E6,4.885E6,3.522E6,3.783E6,1.00,0.99,1.37,1.41,1.16,1.10,0.79,0.85,4.412E6,6.159E6,5.01E6,3.652E6,1.00,1.40,1.14,0.83,30,30,9,TMT10plex; Oxidation (M); Deamidation (NQ),35747,Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3
13,15,P32324|EF2_YEAST,18.29,356.45,2.829E7,2.692E7,4.157E7,4.115E7,3.583E7,3.661E7,2.576E7,2.838E7,1.00,0.95,1.47,1.45,1.27,1.29,0.91,1.00,2.761E7,4.136E7,3.623E7,2.707E7,1.00,1.50,1.31,0.98,53,40,40,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),93289,Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EFT1 PE=1 SV=1
21,9,P07149|FAS1_YEAST,13.79,353.59,7.921E6,7.438E6,1.073E7,1.033E7,9.394E6,9.822E6,1.062E7,1.121E7,1.00,0.94,1.36,1.30,1.19,1.24,1.34,1.42,7.68E6,1.053E7,9.61E6,1.092E7,1.00,1.37,1.25,1.42,29,50,50,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),228689,Fatty acid synthase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS1 PE=1 SV=2
36,12,P03965|CARB_YEAST,14.20,346.89,9.188E6,8.713E6,1.186E7,1.162E7,1.071E7,1.054E7,1.007E7,1.073E7,1.00,0.95,1.29,1.26,1.17,1.15,1.10,1.17,8.95E6,1.174E7,1.062E7,1.04E7,1.00,1.31,1.19,1.16,45,38,37,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),123915,Carbamoyl-phosphate synthase arginine-specific large chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CPA2 PE=1 SV=1
9,7,P10592|HSP72_YEAST,20.72,346.06,1.153E6,1.047E6,1.788E6,1.704E6,1.468E6,1.544E6,8.401E5,8.881E5,1.00,0.91,1.55,1.48,1.27,1.34,0.73,0.77,1.1E6,1.746E6,1.506E6,8.641E5,1.00,1.59,1.37,0.79,7,34,4,TMT10plex; Oxidation (M),69470,Heat shock protein SSA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSA2 PE=1 SV=3
23,36,P38720|6PGD1_YEAST,21.14,343.04,1.206E7,1.14E7,1.736E7,1.718E7,1.51E7,1.505E7,7.856E6,8.352E6,1.00,0.95,1.44,1.42,1.25,1.25,0.65,0.69,1.173E7,1.727E7,1.508E7,8.107E6,1.00,1.47,1.29,0.69,50,28,22,Acrylamide; TMT10plex; Deamidation (NQ),53543,6-phosphogluconate dehydrogenase  decarboxylating 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GND1 PE=1 SV=1
8,8,P10591|HSP71_YEAST,18.48,342.79,6.451E5,5.73E5,9.39E5,8.196E5,7.551E5,8.157E5,1.454E6,1.552E6,1.00,0.89,1.46,1.27,1.17,1.26,2.25,2.41,6.109E5,8.815E5,7.854E5,1.503E6,1.00,1.44,1.29,2.46,12,35,7,TMT10plex; Oxidation (M); Deamidation (NQ),69657,Heat shock protein SSA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSA1 PE=1 SV=4
6,25,P02994|EF1A_YEAST,15.53,338.42,6.643E7,6.195E7,9.384E7,9.537E7,8.301E7,8.062E7,6.756E7,7.553E7,1.00,0.93,1.41,1.44,1.25,1.21,1.02,1.14,6.419E7,9.461E7,8.182E7,7.155E7,1.00,1.47,1.27,1.11,55,25,25,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),50033,Elongation factor 1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TEF1 PE=1 SV=1
16,38,P06168|ILV5_YEAST,17.01,336.64,1.491E7,1.389E7,1.991E7,1.973E7,1.736E7,1.762E7,1.646E7,1.768E7,1.00,0.93,1.34,1.32,1.16,1.18,1.10,1.19,1.44E7,1.982E7,1.749E7,1.707E7,1.00,1.38,1.21,1.19,65,25,25,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),44369,Ketol-acid reductoisomerase  mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ILV5 PE=1 SV=1
20,11,P19097|FAS2_YEAST,17.84,332.71,6.038E6,5.865E6,8.076E6,7.937E6,7.216E6,7.282E6,7.987E6,8.546E6,1.00,0.97,1.34,1.31,1.20,1.21,1.32,1.42,5.952E6,8.007E6,7.254E6,8.267E6,1.00,1.35,1.22,1.39,30,46,46,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),206945,Fatty acid synthase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS2 PE=1 SV=2
26,40,P47169|MET5_YEAST,17.80,330.72,8.158E6,7.796E6,1.076E7,1.065E7,9.926E6,9.856E6,7.728E6,8.233E6,1.00,0.96,1.32,1.31,1.22,1.21,0.95,1.01,7.989E6,1.071E7,9.908E6,7.988E6,1.00,1.34,1.24,1.00,42,44,43,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),161218,Sulfite reductase [NADPH] subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET5 PE=1 SV=1
17,21,P11484|SSB1_YEAST,15.76,328.67,1.321E6,1.266E6,1.715E6,1.535E6,1.406E6,1.533E6,8.821E5,9.349E5,1.00,0.96,1.30,1.16,1.06,1.16,0.67,0.71,1.301E6,1.625E6,1.473E6,9.085E5,1.00,1.25,1.13,0.70,6,27,3,Acrylamide; TMT10plex,66602,Ribosome-associated molecular chaperone SSB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSB1 PE=1 SV=3
12,56,P00358|G3P2_YEAST,17.70,327.99,9.352E5,8.214E5,1.515E6,1.476E6,1.265E6,1.28E6,7.892E5,8.421E5,1.00,0.88,1.62,1.58,1.35,1.37,0.84,0.90,8.783E5,1.495E6,1.272E6,8.157E5,1.00,1.70,1.45,0.93,14,25,4,TMT10plex; Oxidation (M),35847,Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3
28,54,P37291|GLYC_YEAST,13.81,327.58,1.625E7,1.476E7,2.527E7,2.448E7,2.174E7,2.17E7,1.4E7,1.529E7,1.00,0.91,1.55,1.51,1.34,1.33,0.86,0.94,1.551E7,2.488E7,2.172E7,1.465E7,1.00,1.60,1.40,0.94,61,29,28,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),52219,Serine hydroxymethyltransferase  cytosolic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SHM2 PE=1 SV=2
22,5,P07262|DHE4_YEAST,16.90,326.24,1.328E7,1.244E7,1.727E7,1.727E7,1.558E7,1.518E7,9E6,9.639E6,1.00,0.94,1.30,1.30,1.17,1.14,0.68,0.73,1.286E7,1.727E7,1.538E7,9.319E6,1.00,1.34,1.20,0.72,50,26,17,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),49570,NADP-specific glutamate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GDH1 PE=1 SV=2
47,16,Q00955|ACAC_YEAST,14.10,325.13,5.731E6,5.265E6,7.392E6,7.246E6,6.542E6,6.629E6,7.852E6,8.418E6,1.00,0.92,1.29,1.26,1.14,1.16,1.37,1.47,5.503E6,7.319E6,6.586E6,8.135E6,1.00,1.33,1.20,1.48,21,40,40,TMT10plex; Oxidation (M); Deamidation (NQ),250351,Acetyl-CoA carboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ACC1 PE=1 SV=2
