Protein Group,Protein ID,Accession,Significance,-10lgP,Intensity TMT10-126,Intensity TMT10-127N,Intensity TMT10-127C,Intensity TMT10-128N,Intensity TMT10-128C,Intensity TMT10-129N,Intensity TMT10-129C,Intensity TMT10-130N,Intensity TMT10-130C,Intensity TMT10-131,Ratio TMT10-126,Ratio TMT10-127N,Ratio TMT10-127C,Ratio TMT10-128N,Ratio TMT10-128C,Ratio TMT10-129N,Ratio TMT10-129C,Ratio TMT10-130N,Ratio TMT10-130C,Ratio TMT10-131,Intensity Group 1(TMT10-126; TMT10-127N),Intensity Group 2(TMT10-127C; TMT10-128N),Intensity Group 3(TMT10-128C; TMT10-129N),Intensity Group 4(TMT10-129C; TMT10-130N),Intensity Group 5(TMT10-130C; TMT10-131),Ratio Group 1(TMT10-126; TMT10-127N),Ratio Group 2(TMT10-127C; TMT10-128N),Ratio Group 3(TMT10-128C; TMT10-129N),Ratio Group 4(TMT10-129C; TMT10-130N),Ratio Group 5(TMT10-130C; TMT10-131),Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
1,1,P00925|ENO2_YEAST,25.14,393.37,2.892E7,2.834E7,2.935E7,2.909E7,2.922E7,2.877E7,3.06E7,3.025E7,1.535E7,1.471E7,1.00,0.98,1.02,1.01,1.01,0.99,1.06,1.05,0.53,0.51,2.863E7,2.922E7,2.9E7,3.042E7,1.505E7,1.00,1.02,1.01,1.06,0.53,36,37,18,TMT10plex; Oxidation (M); Deamidation (NQ),46914,Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO2 PE=1 SV=2
3,3,P05694|METE_YEAST,18.79,393.30,5.406E7,5.4E7,5.408E7,5.564E7,5.015E7,4.977E7,4.89E7,4.794E7,5.08E7,5.178E7,1.00,1.00,1.00,1.03,0.93,0.92,0.90,0.89,0.94,0.96,5.403E7,5.487E7,4.996E7,4.843E7,5.129E7,1.00,1.02,0.92,0.90,0.95,68,46,46,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),85860,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET6 PE=1 SV=4
14,9,P07149|FAS1_YEAST,15.66,391.56,1.141E7,1.111E7,1.146E7,1.138E7,1.234E7,1.272E7,1.148E7,1.121E7,1.061E7,1.072E7,1.00,0.97,1.00,1.00,1.08,1.11,1.01,0.98,0.93,0.94,1.127E7,1.143E7,1.254E7,1.135E7,1.067E7,1.00,1.01,1.11,1.01,0.95,34,61,61,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),228689,Fatty acid synthase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS1 PE=1 SV=2
15,11,P19097|FAS2_YEAST,24.12,380.05,8.905E6,8.828E6,8.686E6,8.845E6,9.649E6,9.755E6,8.62E6,8.723E6,8.124E6,8.177E6,1.00,0.99,0.98,0.99,1.08,1.10,0.97,0.98,0.91,0.92,8.868E6,8.765E6,9.702E6,8.677E6,8.15E6,1.00,0.99,1.09,0.98,0.92,31,52,52,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),206945,Fatty acid synthase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS2 PE=1 SV=2
6,10,P06169|PDC1_YEAST,27.33,376.92,5.206E7,5.118E7,4.693E7,4.711E7,4.361E7,4.349E7,4.556E7,4.559E7,1.969E7,1.888E7,1.00,0.98,0.90,0.90,0.84,0.84,0.88,0.88,0.38,0.36,5.162E7,4.702E7,4.356E7,4.559E7,1.93E7,1.00,0.91,0.84,0.88,0.37,52,28,24,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),61495,Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDC1 PE=1 SV=7
8,6,P00549|KPYK1_YEAST,26.99,371.96,4.966E7,5.055E7,5.294E7,5.256E7,5.706E7,5.625E7,4.877E7,4.906E7,2.278E7,2.168E7,1.00,1.02,1.07,1.06,1.15,1.13,0.98,0.99,0.46,0.44,5.011E7,5.276E7,5.666E7,4.892E7,2.223E7,1.00,1.05,1.13,0.98,0.44,75,37,36,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),54545,Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2
17,4,P07259|PYR1_YEAST,33.97,368.46,1.016E7,1.033E7,1.024E7,1.006E7,9.545E6,9.581E6,8.089E6,8.108E6,1.038E7,1.048E7,1.00,1.02,1.01,0.99,0.94,0.94,0.80,0.80,1.02,1.03,1.025E7,1.015E7,9.563E6,8.102E6,1.044E7,1.00,0.99,0.93,0.79,1.02,31,60,59,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),245038,Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA2 PE=1 SV=5
4,2,P00560|PGK_YEAST,26.72,365.69,1.124E8,1.18E8,1.301E8,1.317E8,1.523E8,1.482E8,1.544E8,1.568E8,5.797E7,5.499E7,1.00,1.05,1.16,1.17,1.36,1.32,1.37,1.40,0.52,0.49,1.152E8,1.309E8,1.503E8,1.556E8,5.653E7,1.00,1.14,1.30,1.35,0.49,80,34,34,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),44738,Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGK1 PE=1 SV=2
13,15,P32324|EF2_YEAST,31.25,364.86,2.546E7,2.508E7,2.424E7,2.479E7,2.247E7,2.285E7,2.162E7,2.156E7,1.909E7,1.91E7,1.00,0.99,0.95,0.97,0.88,0.90,0.85,0.85,0.75,0.75,2.527E7,2.452E7,2.267E7,2.16E7,1.911E7,1.00,0.97,0.90,0.85,0.76,56,43,43,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),93289,Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EFT1 PE=1 SV=1
2,14,P00359|G3P3_YEAST,24.92,364.70,5.295E6,5.339E6,5.257E6,5.439E6,5.191E6,5.197E6,5.167E6,5.004E6,3.219E6,3.283E6,1.00,1.01,0.99,1.03,0.98,0.98,0.98,0.94,0.61,0.62,5.317E6,5.348E6,5.194E6,5.085E6,3.256E6,1.00,1.01,0.98,0.96,0.61,30,31,9,TMT10plex; Oxidation (M); Deamidation (NQ),35747,Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3
