Protein Group,Protein ID,Accession,Significance,-10lgP,Intensity TMT10-126,Intensity TMT10-127N,Intensity TMT10-127C,Intensity TMT10-128N,Intensity TMT10-128C,Intensity TMT10-129N,Intensity TMT10-129C,Intensity TMT10-130N,Intensity TMT10-130C,Intensity TMT10-131,Ratio TMT10-126,Ratio TMT10-127N,Ratio TMT10-127C,Ratio TMT10-128N,Ratio TMT10-128C,Ratio TMT10-129N,Ratio TMT10-129C,Ratio TMT10-130N,Ratio TMT10-130C,Ratio TMT10-131,Intensity Group 1(TMT10-126; TMT10-127N),Intensity Group 2(TMT10-127C; TMT10-128N),Intensity Group 3(TMT10-128C; TMT10-129N),Intensity Group 4(TMT10-129C; TMT10-130N),Intensity Group 5(TMT10-130C; TMT10-131),Ratio Group 1(TMT10-126; TMT10-127N),Ratio Group 2(TMT10-127C; TMT10-128N),Ratio Group 3(TMT10-128C; TMT10-129N),Ratio Group 4(TMT10-129C; TMT10-130N),Ratio Group 5(TMT10-130C; TMT10-131),Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
3,3,P05694|METE_YEAST,23.41,428.29,4.928E7,4.965E7,5.182E7,5.167E7,4.77E7,4.58E7,4.669E7,4.752E7,4.913E7,4.904E7,1.00,1.01,1.05,1.05,0.97,0.93,0.95,0.96,1.00,1.00,4.946E7,5.175E7,4.675E7,4.711E7,4.908E7,1.00,1.05,0.95,0.95,0.99,62,45,45,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),85860,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET6 PE=1 SV=4
1,1,P00925|ENO2_YEAST,27.24,420.89,2.969E7,2.902E7,3.019E7,3.013E7,3.065E7,3.156E7,3.144E7,3.227E7,1.48E7,1.446E7,1.00,0.98,1.02,1.01,1.03,1.06,1.06,1.09,0.50,0.49,2.936E7,3.016E7,3.11E7,3.185E7,1.464E7,1.00,1.03,1.06,1.09,0.50,38,35,18,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),46914,Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO2 PE=1 SV=2
5,10,P06169|PDC1_YEAST,22.05,419.90,5.342E7,5.331E7,5.005E7,4.873E7,4.492E7,4.572E7,4.342E7,4.091E7,2.036E7,1.896E7,1.00,1.00,0.94,0.91,0.84,0.86,0.81,0.77,0.38,0.36,5.337E7,4.939E7,4.533E7,4.217E7,1.968E7,1.00,0.93,0.85,0.79,0.37,52,31,26,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),61495,Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDC1 PE=1 SV=7
14,9,P07149|FAS1_YEAST,18.13,412.34,1.047E7,1.048E7,1.061E7,1.048E7,1.149E7,1.163E7,1.186E7,1.165E7,1.065E7,1.076E7,1.00,1.00,1.01,1.00,1.10,1.11,1.13,1.11,1.02,1.03,1.048E7,1.056E7,1.157E7,1.176E7,1.071E7,1.00,1.01,1.10,1.12,1.02,33,58,58,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),228689,Fatty acid synthase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS1 PE=1 SV=2
10,6,P00549|KPYK1_YEAST,22.41,402.76,5.358E7,5.431E7,6.067E7,6.066E7,6.212E7,6.337E7,5.973E7,5.794E7,2.376E7,2.239E7,1.00,1.01,1.13,1.13,1.16,1.18,1.11,1.08,0.44,0.42,5.394E7,6.066E7,6.275E7,5.883E7,2.308E7,1.00,1.12,1.16,1.09,0.43,70,37,37,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),54545,Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2
4,2,P00560|PGK_YEAST,27.17,399.24,1.015E8,1.003E8,1.111E8,1.134E8,1.268E8,1.248E8,1.288E8,1.28E8,5.093E7,4.732E7,1.00,0.99,1.09,1.12,1.25,1.23,1.27,1.26,0.50,0.47,1.009E8,1.123E8,1.258E8,1.284E8,4.917E7,1.00,1.11,1.25,1.27,0.49,82,35,35,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),44738,Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGK1 PE=1 SV=2
17,11,P19097|FAS2_YEAST,24.84,395.44,7.19E6,7.255E6,7.105E6,7.129E6,7.954E6,8.144E6,7.822E6,8.271E6,6.587E6,6.613E6,1.00,1.01,0.99,0.99,1.11,1.13,1.09,1.15,0.92,0.92,7.226E6,7.117E6,8.049E6,8.05E6,6.604E6,1.00,0.98,1.11,1.11,0.91,30,50,50,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),206945,Fatty acid synthase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS2 PE=1 SV=2
16,4,P07259|PYR1_YEAST,13.58,391.48,9.02E6,9.122E6,8.701E6,8.544E6,8.046E6,8.246E6,8.237E6,8.484E6,9.101E6,9.043E6,1.00,1.01,0.96,0.95,0.89,0.91,0.91,0.94,1.01,1.00,9.071E6,8.623E6,8.146E6,8.361E6,9.074E6,1.00,0.95,0.90,0.92,1.00,32,63,62,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),245038,Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA2 PE=1 SV=5
12,15,P32324|EF2_YEAST,30.03,390.95,2.477E7,2.484E7,2.415E7,2.372E7,2.272E7,2.246E7,2.192E7,2.201E7,1.93E7,1.894E7,1.00,1.00,0.97,0.96,0.92,0.91,0.89,0.89,0.78,0.76,2.481E7,2.394E7,2.259E7,2.197E7,1.912E7,1.00,0.96,0.91,0.89,0.77,53,41,41,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),93289,Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EFT1 PE=1 SV=1
2,14,P00359|G3P3_YEAST,29.54,389.68,4.611E6,4.676E6,4.206E6,4.583E6,4.669E6,4.569E6,4.549E6,4.499E6,3.282E6,3.243E6,1.00,1.01,0.91,0.99,1.01,0.99,0.99,0.98,0.71,0.70,4.644E6,4.399E6,4.621E6,4.524E6,3.271E6,1.00,0.95,1.00,0.97,0.70,30,33,10,TMT10plex; Oxidation (M); Deamidation (NQ),35747,Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3
