Protein Group,Protein ID,Accession,Significance,-10lgP,Intensity TMT10-126,Intensity TMT10-127N,Intensity TMT10-127C,Intensity TMT10-128N,Intensity TMT10-128C,Intensity TMT10-129N,Intensity TMT10-129C,Intensity TMT10-130N,Intensity TMT10-130C,Intensity TMT10-131,Ratio TMT10-126,Ratio TMT10-127N,Ratio TMT10-127C,Ratio TMT10-128N,Ratio TMT10-128C,Ratio TMT10-129N,Ratio TMT10-129C,Ratio TMT10-130N,Ratio TMT10-130C,Ratio TMT10-131,Intensity Group 1(TMT10-126; TMT10-127N),Intensity Group 2(TMT10-127C; TMT10-128N),Intensity Group 3(TMT10-128C; TMT10-129N),Intensity Group 4(TMT10-129C; TMT10-130N),Intensity Group 5(TMT10-130C; TMT10-131),Ratio Group 1(TMT10-126; TMT10-127N),Ratio Group 2(TMT10-127C; TMT10-128N),Ratio Group 3(TMT10-128C; TMT10-129N),Ratio Group 4(TMT10-129C; TMT10-130N),Ratio Group 5(TMT10-130C; TMT10-131),Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
3,3,P05694|METE_YEAST,21.66,361.35,6.406E7,6.374E7,6.479E7,6.467E7,5.973E7,6.027E7,6.041E7,6.001E7,6.811E7,6.915E7,1.00,1.00,1.01,1.01,0.93,0.94,0.94,0.94,1.06,1.08,6.392E7,6.474E7,6.002E7,6.022E7,6.864E7,1.00,1.01,0.94,0.94,1.07,69,48,48,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),85860,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET6 PE=1 SV=4
1,1,P00925|ENO2_YEAST,16.60,349.38,4.908E7,4.855E7,5.105E7,4.906E7,5.14E7,5.123E7,5.264E7,5.148E7,2.535E7,2.288E7,1.00,0.99,1.04,1.00,1.05,1.04,1.07,1.05,0.52,0.47,4.881E7,5.006E7,5.132E7,5.207E7,2.413E7,1.00,1.03,1.05,1.07,0.49,35,36,17,TMT10plex; Oxidation (M); Deamidation (NQ),46914,Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO2 PE=1 SV=2
14,4,P07259|PYR1_YEAST,15.32,347.79,1.413E7,1.436E7,1.382E7,1.398E7,1.266E7,1.283E7,1.295E7,1.336E7,1.41E7,1.408E7,1.00,1.02,0.98,0.99,0.90,0.91,0.92,0.95,1.00,1.00,1.425E7,1.391E7,1.275E7,1.316E7,1.409E7,1.00,0.98,0.89,0.92,0.99,33,65,64,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),245038,Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA2 PE=1 SV=5
16,9,P07149|FAS1_YEAST,28.54,345.19,1.333E7,1.331E7,1.405E7,1.436E7,1.592E7,1.617E7,1.611E7,1.601E7,1.573E7,1.601E7,1.00,1.00,1.05,1.08,1.19,1.21,1.21,1.20,1.18,1.20,1.332E7,1.42E7,1.605E7,1.607E7,1.588E7,1.00,1.07,1.21,1.21,1.19,30,53,53,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),228689,Fatty acid synthase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS1 PE=1 SV=2
12,15,P32324|EF2_YEAST,25.50,343.25,4.272E7,4.201E7,3.97E7,3.978E7,3.585E7,3.61E7,3.642E7,3.621E7,3.143E7,3.041E7,1.00,0.98,0.93,0.93,0.84,0.84,0.85,0.85,0.74,0.71,4.237E7,3.975E7,3.599E7,3.633E7,3.094E7,1.00,0.94,0.85,0.86,0.73,62,47,47,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),93289,Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EFT1 PE=1 SV=1
15,11,P19097|FAS2_YEAST,25.09,342.54,1.058E7,1.056E7,1.018E7,1.039E7,1.156E7,1.185E7,1.198E7,1.205E7,1.042E7,1.071E7,1.00,1.00,0.96,0.98,1.09,1.12,1.13,1.14,0.99,1.01,1.057E7,1.029E7,1.171E7,1.202E7,1.057E7,1.00,0.97,1.11,1.14,1.00,35,55,55,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),206945,Fatty acid synthase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS2 PE=1 SV=2
6,10,P06169|PDC1_YEAST,22.30,342.46,7.315E7,7.41E7,6.826E7,6.628E7,6.267E7,6.289E7,5.957E7,5.808E7,2.923E7,2.711E7,1.00,1.01,0.93,0.91,0.86,0.86,0.81,0.79,0.40,0.37,7.362E7,6.728E7,6.279E7,5.882E7,2.821E7,1.00,0.91,0.85,0.80,0.38,52,31,25,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),61495,Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDC1 PE=1 SV=7
5,6,P00549|KPYK1_YEAST,26.88,338.29,9.871E7,9.842E7,1.029E8,9.988E7,1.073E8,1.073E8,1.084E8,1.043E8,4.241E7,3.801E7,1.00,1.00,1.04,1.01,1.09,1.09,1.10,1.06,0.43,0.39,9.857E7,1.014E8,1.073E8,1.063E8,4.022E7,1.00,1.03,1.09,1.08,0.41,77,37,37,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),54545,Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2
24,16,Q00955|ACAC_YEAST,25.49,337.53,1.072E7,1.069E7,9.93E6,9.92E6,9.862E6,9.986E6,1.017E7,1.053E7,1.092E7,1.117E7,1.00,1.00,0.93,0.92,0.92,0.93,0.95,0.98,1.02,1.04,1.071E7,9.925E6,9.924E6,1.035E7,1.104E7,1.00,0.93,0.93,0.97,1.03,27,53,53,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),250351,Acetyl-CoA carboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ACC1 PE=1 SV=2
4,2,P00560|PGK_YEAST,28.30,333.03,1.511E8,1.499E8,1.744E8,1.705E8,1.941E8,1.96E8,1.9E8,1.945E8,7.762E7,7.058E7,1.00,0.99,1.15,1.13,1.28,1.30,1.26,1.29,0.51,0.47,1.505E8,1.724E8,1.951E8,1.923E8,7.416E7,1.00,1.15,1.30,1.28,0.49,83,36,36,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),44738,Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGK1 PE=1 SV=2
